transect,elevation_ft,count,maxheight_cm,lat,lon
Coastal,1030,1,112,37.68918,122.44118
Coastal,1064,0,91,37.68858,122.44041
Coastal,1106,3,197,37.6884,122.43981
Coastal,1134,4,131,37.68824,122.43878
Coastal,1164,0,80,37.68882,122.43843
Coastal,1188,0,87,37.68876,122.43778
Coastal,1191,1,145,37.68877,122.43729
Inland,897,0,70,37.69276,122.43258
Inland,927,1,94,37.6926,122.43354
Inland,965,1,117,37.69201,122.43283
Inland,981,1,122,37.69213,122.43361
Inland,1015,0,0,37.6916,122.43404
Inland,1022,1,101,37.69179,122.43352
Inland,1067,2,122,37.69,122.433372
Inland,1102,3,186,37.69058,122.43442
Inland,1125,0,60,37.69,122.43437
Inland,1146,0,68,37.68987,122.43515
Inland,1182,5,139,37.68947,122.43614
Inland,1199,3,116,37.68889,122.43701
