transect,branch,genus,species,epiphyte,present
Coastal,1,Frullania,californica,liverwort,0
Coastal,2,Frullania,californica,liverwort,1
Coastal,3,Frullania,californica,liverwort,0
Coastal,4,Frullania,californica,liverwort,0
Coastal,5,Frullania,californica,liverwort,1
Coastal,6,Frullania,californica,liverwort,1
Coastal,7,Frullania,californica,liverwort,1
Coastal,8,Frullania,californica,liverwort,1
Coastal,9,Frullania,californica,liverwort,0
Coastal,10,Frullania,californica,liverwort,1
Inland,11,Frullania,californica,liverwort,0
Inland,12,Frullania,californica,liverwort,0
Inland,13,Frullania,californica,liverwort,0
Inland,14,Frullania,californica,liverwort,0
Inland,15,Frullania,californica,liverwort,0
Inland,16,Frullania,californica,liverwort,0
Inland,17,Frullania,californica,liverwort,0
Inland,18,Frullania,californica,liverwort,0
Inland,19,Frullania,californica,liverwort,0
Inland,20,Frullania,californica,liverwort,0
Coastal,1,Chrysothrix,sp. ,microlichen,1
Coastal,2,Chrysothrix,sp. ,microlichen,1
Coastal,3,Chrysothrix,sp. ,microlichen,1
Coastal,4,Chrysothrix,sp. ,microlichen,1
Coastal,5,Chrysothrix,sp. ,microlichen,1
Coastal,6,Chrysothrix,sp. ,microlichen,1
Coastal,7,Chrysothrix,sp. ,microlichen,1
Coastal,8,Chrysothrix,sp. ,microlichen,1
Coastal,9,Chrysothrix,sp. ,microlichen,1
Coastal,10,Chrysothrix,sp. ,microlichen,1
Inland,11,Chrysothrix,sp. ,microlichen,1
Inland,12,Chrysothrix,sp. ,microlichen,1
Inland,13,Chrysothrix,sp. ,microlichen,1
Inland,14,Chrysothrix,sp. ,microlichen,1
Inland,15,Chrysothrix,sp. ,microlichen,1
Inland,16,Chrysothrix,sp. ,microlichen,1
Inland,17,Chrysothrix,sp. ,microlichen,1
Inland,18,Chrysothrix,sp. ,microlichen,1
Inland,19,Chrysothrix,sp. ,microlichen,1
Inland,20,Chrysothrix,sp. ,microlichen,1
Coastal,1,Chrysothrix,sp. ,microlichen,1
Coastal,2,Chrysothrix,sp. ,microlichen,1
Coastal,3,Chrysothrix,sp. ,microlichen,1
Coastal,4,Chrysothrix,sp. ,microlichen,1
Coastal,5,Chrysothrix,sp. ,microlichen,1
Coastal,6,Chrysothrix,sp. ,microlichen,1
Coastal,7,Chrysothrix,sp. ,microlichen,1
Coastal,8,Chrysothrix,sp. ,microlichen,1
Coastal,9,Chrysothrix,sp. ,microlichen,1
Coastal,10,Chrysothrix,sp. ,microlichen,1
Inland,11,Chrysothrix,sp. ,microlichen,1
Inland,12,Chrysothrix,sp. ,microlichen,1
Inland,13,Chrysothrix,sp. ,microlichen,1
Inland,14,Chrysothrix,sp. ,microlichen,1
Inland,15,Chrysothrix,sp. ,microlichen,1
Inland,16,Chrysothrix,sp. ,microlichen,1
Inland,17,Chrysothrix,sp. ,microlichen,1
Inland,18,Chrysothrix,sp. ,microlichen,1
Inland,19,Chrysothrix,sp. ,microlichen,1
Inland,20,Chrysothrix,sp. ,microlichen,1
Coastal,1,Normandina,pulchella,microlichen,1
Coastal,2,Normandina,pulchella,microlichen,1
Coastal,3,Normandina,pulchella,microlichen,1
Coastal,4,Normandina,pulchella,microlichen,0
Coastal,5,Normandina,pulchella,microlichen,1
Coastal,6,Normandina,pulchella,microlichen,0
Coastal,7,Normandina,pulchella,microlichen,0
Coastal,8,Normandina,pulchella,microlichen,0
Coastal,9,Normandina,pulchella,microlichen,0
Coastal,10,Normandina,pulchella,microlichen,1
Inland,11,Normandina,pulchella,microlichen,0
Inland,12,Normandina,pulchella,microlichen,0
Inland,13,Normandina,pulchella,microlichen,0
Inland,14,Normandina,pulchella,microlichen,0
Inland,15,Normandina,pulchella,microlichen,0
Inland,16,Normandina,pulchella,microlichen,0
Inland,17,Normandina,pulchella,microlichen,0
Inland,18,Normandina,pulchella,microlichen,1
Inland,19,Normandina,pulchella,microlichen,1
Inland,20,Normandina,pulchella,microlichen,0
